#rlamD,r_arcsec,Intensity,Contrast,coreThruput,PSFpeak,area_sqarcsec,occTrans
2.7,0.1879881,4.3e-12,3.28924016034985e-09,0.013363753,0.000559174,0.00620502,0.050647709
2.9,0.201913144,3.43e-12,3.19551749271137e-09,0.016939445,0.000734897,0.005817206,0.067105068
3.1,0.215838189,2.73e-12,3.05454588667765e-09,0.022138293,0.000918802,0.00620502,0.08392167
3.3,0.229763233,2.24e-12,2.87421907538526e-09,0.026132712,0.001077909,0.00620502,0.099774035
3.5,0.243688278,1.91e-12,2.64827155351937e-09,0.029706375,0.001223136,0.00620502,0.113589382
3.7,0.257613322,1.63e-12,2.42232403165348e-09,0.032346857,0.001325503,0.00620502,0.124752742
3.9,0.271538367,1.38e-12,2.22633572062365e-09,0.036984754,0.00139124,0.006980647,0.13316126
4.1,0.285463411,1.16e-12,2.12662409684371e-09,0.03688143,0.001442582,0.006592833,0.139133418
4.3,0.299388456,1.06e-12,2.03898716079839e-09,0.036150101,0.001469721,0.00620502,0.143233357
4.5,0.3133135,1.16e-12,2.04202876205427e-09,0.036500892,0.001481625,0.00620502,0.146085388
4.7,0.327238544,1.45e-12,2.04507036331016e-09,0.036627806,0.001485058,0.00620502,0.148233313
4.9,0.341163589,1.91e-12,2.14572704081633e-09,0.036641303,0.001484525,0.00620502,0.1500643
5.1,0.355088633,2.39e-12,2.28411989795918e-09,0.036611181,0.0014828,0.00620502,0.151789996
5.3,0.369013678,2.83e-12,2.41244533527697e-09,0.036578678,0.001481474,0.00620502,0.15346775
5.5,0.382938722,3.04e-12,2.48093497340026e-09,0.036565433,0.001481316,0.00620502,0.155046819
5.7,0.396863767,3.1e-12,2.47522805145622e-09,0.036578869,0.001482493,0.00620502,0.15642771
5.9,0.410788811,3.02e-12,2.46952112951219e-09,0.036616046,0.001484748,0.00620502,0.157521696
6.1,0.424713856,2.86e-12,2.46381420756815e-09,0.036667947,0.001487608,0.00620502,0.158294875
6.3,0.4386389,2.73e-12,2.45810728562412e-09,0.036724815,0.001490636,0.00620502,0.158782233
6.5,0.452563944,2.67e-12,2.45240036368008e-09,0.036781008,0.001493659,0.00620502,0.159063922
6.7,0.466488989,2.68e-12,2.44669344173605e-09,0.036835438,0.001496815,0.00620502,0.159205297
6.9,0.480414033,2.75e-12,2.44098651979201e-09,0.036882071,0.001500177,0.00620502,0.159171328
7.1,0.494339078,2.84e-12,2.43527959784798e-09,0.036886753,0.001502741,0.00620502,0.158735622
7.3,0.508264122,2.91e-12,2.42957267590394e-09,0.036753535,0.001500847,0.00620502,0.157416179
7.5,0.522189167,2.99e-12,2.42386575395991e-09,0.036295284,0.001486604,0.00620502,0.15448014
7.7,0.536114211,3.08e-12,2.41815883201587e-09,0.036713937,0.001447499,0.006592833,0.149055387
7.9,0.550039256,3.2e-12,2.41245191007183e-09,0.033585933,0.001385309,0.00620502,0.140355649
8.1,0.5639643,3.45e-12,2.4067449881278e-09,0.030976772,0.00128487,0.00620502,0.12797013
8.3,0.577889344,3.71e-12,2.40103806618376e-09,0.027248618,0.001129965,0.00620502,0.112114288
8.5,0.591814389,4.11e-12,2.39533114423973e-09,0.022957821,0.000959396,0.00620502,0.093722547
8.7,0.605739433,4.5e-12,2.38962422229569e-09,0.017394542,0.000756315,0.005817206,0.074310075
8.9,0.619664478,5e-12,2.38391730035166e-09,0.012916284,0.000566165,0.005817206,0.055626625
